case,concurrency,phase,backend,variant,baseline_wall_ns_median,baseline_wall_ns_min,baseline_wall_ns_max,baseline_cpu_ns_median,baseline_cpu_ns_min,baseline_cpu_ns_max,candidate_wall_ns_median,candidate_wall_ns_min,candidate_wall_ns_max,candidate_cpu_ns_median,candidate_cpu_ns_min,candidate_cpu_ns_max,wall_candidate_over_baseline,wall_bootstrap95_low,wall_bootstrap95_high,cpu_candidate_over_baseline,cpu_bootstrap95_low,cpu_bootstrap95_high
empty,8,cold,native,static16k,65527.0,59495.869047619046,78882.75,64755.357142857145,58434.52380952381,78407.73809523809,66115.52380952382,60365.52976190476,81613.72619047618,64130.357142857145,59960.119047619046,78261.90476190476,1.0088074184040905,0.9546351520842906,1.0374321471652594,0.9981400645283736,0.9567700054170701,1.0261077722318428
empty,8,steady,generic,static16k,29232.40111111111,28726.11472222222,32953.167474747475,29232.18686868687,28725.570707070707,32952.48484848485,29082.559015151513,28544.34414141414,32930.419848484846,29081.86111111111,28542.94191919192,32929.732323232325,0.9960035394999001,0.8818083674475056,1.0309783848240093,0.9959962667413963,0.8818153686851224,1.0309814417626362
empty,8,steady,native,static16k,25447.09707070707,25106.153333333332,29312.64171717172,25445.616161616163,25105.853535353537,29311.598484848484,25705.114166666666,25349.34856060606,29563.424166666668,25704.739898989897,25348.98232323232,29562.992424242424,1.023857132766655,0.9557875270779589,1.1058335668226658,1.0238544514247652,0.9557806386148046,1.1058234710620993
empty,128,cold,generic,static16k,34250.239583333336,33987.018229166664,52816.794270833336,34147.395833333336,33969.791666666664,52789.84375,35251.065104166664,34709.619791666664,54466.546875,34873.4375,34360.9375,53433.333333333336,1.0293033646535,1.0178982932905274,1.041444500038459,1.0194528735983612,1.0115145196406121,1.038051281280303
empty,128,cold,native,static16k,31718.192708333332,31056.716145833332,41159.9375,31549.479166666668,31018.229166666668,41049.739583333336,32288.572916666668,31251.041666666668,46163.361979166664,32039.84375,31231.510416666668,46119.010416666664,1.0043548039414847,0.9913090642952709,1.0631196819871997,1.0035477569828204,0.990007840125442,1.0471549484622475
empty,128,steady,generic,static16k,29343.086522801303,28441.97445032573,32507.397750407166,29342.113701140064,28441.60219869707,32506.95999592834,29530.726715187295,28637.260382736156,32924.72432308632,29530.359324104236,28636.609324104236,32924.16276465798,1.0079393528648966,0.9196659784097416,1.0891752002232433,1.0079259783909182,0.9196726588868955,1.0891885771694818
empty,128,steady,native,static16k,25622.805094666124,25374.261782369707,30261.340034609122,25622.284710912052,25373.109222312705,30260.74155130293,26028.4077259772,25685.70197984528,27595.137444014657,26027.890879478826,25685.174063517916,27594.655944625407,1.0121954322640065,0.879641039169379,1.0369004102022774,1.0121878770666461,0.879633295059024,1.0369065114467568
fixed4k,1,cold,generic,static16k,347548.0,335131.3548387097,421886.9032258064,343780.6451612903,332683.87096774194,410600.0,353576.3870967742,343786.2580645161,401035.22580645164,350403.22580645164,335093.5483870968,397935.48387096776,1.0127626836042511,0.9505751961961371,1.0911223654224278,1.0074941799530688,0.9774701436198758,1.0509725859286674
fixed4k,1,cold,native,static16k,292857.03225806454,276960.48387096776,338641.87096774194,289577.4193548387,273341.93548387097,334745.1612903226,301176.70967741933,287314.4193548387,339922.51612903224,291448.3870967742,274403.22580645164,336719.3548387097,1.0201380795183956,0.9395526545020728,1.0495107638184877,1.0168482420204383,0.9669965925685543,1.044172488670695
fixed4k,1,steady,generic,static16k,49257.63704586589,48570.66326755838,56531.770405685784,49256.71213525802,48569.67730543416,56530.75530834768,49290.245442104795,48508.20597713327,55461.27025118086,49289.57312497241,48507.39857855472,55460.106829117554,1.0010404205709804,0.9778898229810528,1.0820732129840773,1.001046450589682,0.9778854964977376,1.0820665419667153
fixed4k,1,steady,native,static16k,44604.86372665872,43977.88063391162,51358.177504083345,44602.79874630292,43977.000838741005,51356.43402639827,44912.016686531584,44342.16964640445,51477.00035315411,44910.82858782501,44341.597139451726,51476.281287246726,1.00679341529709,0.9925810070642477,1.1494800603954578,1.0068151024248524,0.9925819467653961,1.1494491271155753
fixed4k,8,cold,generic,static16k,86689.71666666666,83313.21666666666,97096.575,85245.83333333333,82930.0,95518.33333333333,85699.9,82438.9,94092.4,85375.83333333333,82106.66666666667,93668.33333333333,0.9862437547859868,0.9690599282209491,1.0026759167006862,0.9958551248839143,0.9806319903683411,1.0129233511586453
fixed4k,8,cold,native,static16k,79400.61666666667,72743.025,88982.34166666666,76240.83333333333,72350.0,86083.33333333333,77659.79166666667,71009.44166666667,84563.98333333334,77315.0,70680.83333333333,84271.66666666667,0.9752104034247765,0.9350952134179877,1.0362772699138036,0.9808035667120957,0.9704409803450008,1.0317743116658833
fixed4k,8,steady,generic,static16k,40744.77500715512,40153.081067544364,46463.709251574124,40743.9181453921,40151.767315397825,46462.489267315395,40182.666893245565,39833.090512306815,45617.331961934746,40181.87607326846,39832.527189467655,45545.13451631368,0.989010771187313,0.9755273218927083,1.0761799631979612,0.989003574400374,0.9755172778115222,1.076187834702826
fixed4k,8,steady,native,static16k,39791.14864768174,35193.54378935318,43557.974921293644,39790.304808242705,35156.99055523755,43557.4055523755,35951.58099599313,35333.78985403549,41228.33561104751,35949.76388093875,35332.10861476817,41227.193045220374,0.9897556358054962,0.8591849850011904,1.1182158949095458,0.989729434717547,0.8591752977216093,1.1182303412658139
fixed4k,128,cold,generic,static16k,45885.16796875,44925.703125,66759.85546875,45651.5625,44882.8125,66684.375,45976.890625,43957.34375,67686.8671875,45775.78125,43920.703125,67545.703125,1.0108832830920387,0.9761629589168059,1.0233983538794085,1.00939804901261,0.9831978319783198,1.0198955613577023
fixed4k,128,cold,native,static16k,40734.375,39760.89453125,62269.24609375,40707.03125,39623.828125,61844.53125,40704.9921875,39532.703125,59430.11328125,40618.75,39490.625,58807.03125,0.9857305331799002,0.9788469471398553,1.0129093942314749,0.9958722405784609,0.978342075212418,1.0081824186440844
fixed4k,128,steady,generic,static16k,38729.83856441048,38367.768456604805,42960.702203875546,38729.34975436681,38366.93163209607,42959.84238537118,38765.55465338428,38264.98051992358,41977.78967658297,38764.88810043668,38264.44118449782,41977.053766375546,1.0009221853304242,0.9974405895057659,1.0144441210370332,1.0009176076101267,0.9974598789064169,1.0144629983883298
fixed4k,128,steady,native,static16k,34113.64782341703,33450.28708378821,38987.69350436681,34112.493176855896,33449.88059497817,38986.73580786026,34675.101971888645,34009.39260371179,39718.02777019651,34674.56673034935,34008.94855349345,39717.03397925764,1.0159140562370528,1.0042170526569918,1.1272868973154466,1.0159317565704205,1.0042151052671244,1.1272824409189108
stream1m,1,steady,generic,static16k,1832889.6298421808,1797091.5710186514,2007623.2783357245,1832806.456241033,1797035.294117647,2007585.6527977046,1800103.3012912483,1761805.4490674317,1976658.8766140603,1800043.0416068865,1761759.8278335724,1976593.974175036,0.9767736141012158,0.8829284007439909,1.0026571325303981,0.9767797186514651,0.8828906198061253,1.0026437614128674
stream1m,1,steady,native,static16k,1452127.4777618365,1398561.6370157818,1556201.8880918222,1452090.9612625537,1398457.819225251,1556134.8637015782,1442853.050215208,1407596.8852223817,1625809.5997130559,1442754.519368723,1407544.3328550933,1625770.1578192252,1.027533610638074,0.9522983080955063,1.0299575138893917,1.0276027240058687,0.952312189928476,1.0299653691511328
stream1m,8,steady,generic,static16k,1546060.4317010308,1536846.2293814432,1735487.7048969073,1546020.231958763,1536800.644329897,1735452.5773195876,1524191.7590206186,1513286.256443299,1684659.0567010308,1524173.969072165,1513268.1701030927,1684612.8865979381,0.9830442054987052,0.9753568800822258,1.0835171727852793,0.9830514371706445,0.9753493367580798,1.0835120980370905
stream1m,8,steady,native,static16k,1295955.6778350514,1266044.993556701,1387016.5412371133,1295937.2422680412,1266024.8711340206,1386982.087628866,1298407.4407216494,1279321.8788659794,1402961.0528350514,1298387.1134020619,1279305.9278350514,1402916.881443299,1.0068696221457587,0.9730811473871277,1.019797860860885,1.006871641100631,0.9730802592217265,1.019807815694812
stream1m,128,steady,generic,static16k,1604294.4856770833,1592622.7005208333,1815743.2473958333,1604270.9635416667,1592593.359375,1815708.984375,1586349.2330729167,1551952.5494791667,1719690.8932291667,1586328.125,1551920.1822916667,1719671.6145833333,0.9789351902125701,0.9604883036988077,0.9932574367419726,0.9789379813853668,0.9604802575563259,0.9932757723293939
stream1m,128,steady,native,static16k,1339225.6875,1320847.4453125,1455991.0533854167,1338251.3020833333,1320830.7291666667,1455972.9166666667,1349668.7135416667,1326054.6080729167,1531184.52734375,1349634.2447916667,1326034.5052083333,1531165.1041666667,1.0075487110255836,0.9971140020384602,1.044877305432029,1.0085058334638741,0.9971138859963578,1.0448822396107185
