case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
fixed4k,128,steady,generic,5,5,58,32,38471.843345905174,38212.190193965514,53444.29485452586,38347.89668642241,40616.07314116379,38212.190193965514,53444.29485452586,38467.98221982759,38211.65140086207,53442.4838362069,4924395.948275862,25993.035764074895,203.07059190683512,,
fixed4k,128,steady,native,5,5,58,32,33915.226158405174,33559.56411637931,35832.3236799569,33688.66864224138,34063.400862068964,33559.56411637931,35832.3236799569,33914.762931034486,33559.11907327586,35831.9369612069,4341148.948275862,29485.28178256512,230.35376392629,,
stream1m,1,cold,generic,5,30,1,0,2251032.6666666665,2130564.6666666665,2870271.8333333335,2157125.5,2345665.3333333335,2130564.6666666665,2870271.8333333335,2208616.6666666665,2128233.3333333335,2852816.6666666665,2251032.6666666665,444.2405544832905,888.481108966581,2249083.0,2987950.0
stream1m,1,cold,native,5,30,1,0,1691486.3333333333,1640024.0,2199813.3333333335,1676474.1666666667,1710889.8333333333,1640024.0,2199813.3333333335,1689050.0,1636700.0,2178750.0,1691486.3333333333,591.1960270050463,1182.3920540100926,1695872.0,2207165.0
stream1m,1,steady,generic,5,5,173,8,1839831.3641618497,1812878.4624277456,2569297.1445086705,1830468.0289017342,1970541.583815029,1812878.4624277456,2569297.1445086705,1839621.387283237,1812751.4450867053,2569085.549132948,1839831.3641618497,543.5280751698448,1087.0561503396896,,
stream1m,1,steady,native,5,5,173,8,1442374.2138728325,1420360.2485549133,1721591.9826589595,1430242.5606936417,1675154.3005780347,1420360.2485549133,1721591.9826589595,1441407.514450867,1420228.323699422,1721417.9190751445,1442374.2138728325,693.3013571526352,1386.6027143052704,,
stream1m,8,cold,generic,5,5,1,0,1630048.75,1624481.5,1658322.625,1625259.375,1638599.125,1624481.5,1658322.625,1628000.0,1623687.5,1655012.5,13040390.0,613.4785846128835,1226.957169225767,13040390,13235023.4
stream1m,8,cold,native,5,5,1,0,1320767.75,1307281.75,1336732.0,1310780.375,1326365.625,1307281.75,1336732.0,1320450.0,1306975.0,1336350.0,10566142.0,757.1353858390319,1514.2707716780637,10566142,10677269.8
stream1m,8,steady,generic,5,5,25,8,1567409.495,1547078.025,1652533.855,1549970.35,1585092.355,1547078.025,1652533.855,1567312.5,1547026.5,1652512.0,12539275.96,637.9953695508269,1275.9907391016538,,
stream1m,8,steady,native,5,5,25,8,1297766.13,1284717.245,1693926.825,1288160.505,1365703.495,1284717.245,1693926.825,1297749.0,1284700.0,1693877.0,10382129.04,770.5548610673019,1541.1097221346038,,
stream1m,32,cold,generic,5,5,1,0,1613329.90625,1607215.59375,1851934.34375,1610084.5,1627883.375,1607215.59375,1851934.34375,1612087.5,1606831.25,1850984.375,51626557.0,619.836027415115,1239.67205483023,51626557,57827972.8
stream1m,32,cold,native,5,5,1,0,1319319.46875,1305599.0,1483442.375,1307447.3125,1347774.4375,1305599.0,1483442.375,1319246.875,1304631.25,1482456.25,42218223.0,757.9665302350598,1515.9330604701197,42218223,46601881.2
stream1m,32,steady,generic,5,5,7,8,1597233.3125,1592509.080357143,1703779.7767857143,1596901.2232142857,1611995.3839285714,1592509.080357143,1703779.7767857143,1597213.8392857143,1592486.1607142857,1703619.642857143,51111466.0,626.0826093307518,1252.1652186615036,,
