case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
fixed4k,32,steady,native,5,5,238,64,32957.762736344535,32704.811055672268,32995.38392857143,32754.57838760504,32979.090598739494,32704.811055672268,32995.38392857143,32957.53676470588,32704.595588235294,32994.24894957983,1054648.4075630251,30341.86537477676,237.04582324044344,,
fixed4k,128,cold,generic,5,10,1,0,46648.82421875,45067.171875,66878.75,45592.1875,59917.76171875,45067.171875,66878.75,46625.78125,44955.859375,66855.078125,5971049.5,21436.767523029244,167.47474627366597,6106251.5,8573560.2
fixed4k,128,cold,native,5,10,1,0,40181.19140625,39038.59765625,58561.09375,39704.24609375,53853.25,39038.59765625,58561.09375,40138.671875,39021.09375,58215.625,5143192.5,24887.266031749736,194.4317658730448,5157693.5,7520491.1
fixed4k,128,steady,generic,5,5,59,32,38124.01827330508,37723.165651483054,38448.46054025424,37927.7624470339,38350.96689618644,37723.165651483054,38448.46054025424,38123.67584745763,37722.00741525424,38447.44438559322,4879874.338983051,26230.18362941591,204.9233096048118,,
fixed4k,128,steady,native,5,5,59,32,33382.10566737288,33255.91141419492,34144.52304025424,33368.211069915254,33629.115863347455,33255.91141419492,34144.52304025424,33381.76641949153,33255.58792372881,34142.783368644064,4272909.525423729,29956.16903152348,234.0325705587772,,
stream1m,1,cold,generic,5,35,1,0,2104820.4285714286,2081645.857142857,2124490.4285714286,2095518.7142857143,2113802.714285714,2081645.857142857,2124490.4285714286,2091500.0,2079357.142857143,2110785.714285714,2104820.4285714286,475.0999118146692,950.1998236293384,2083618,2263760.6
stream1m,1,cold,native,5,35,1,0,1660901.7142857143,1638627.2857142857,1717401.5714285714,1653113.7142857143,1697243.7142857143,1638627.2857142857,1717401.5714285714,1657514.2857142857,1634500.0,1693657.142857143,1660901.7142857143,602.0825864642201,1204.1651729284401,1652815,1796796.4
stream1m,1,steady,generic,5,5,179,8,1769493.0167597765,1759118.5363128493,1790818.9888268157,1763133.2513966481,1778722.0391061453,1759118.5363128493,1790818.9888268157,1765973.1843575418,1758984.3575418994,1790720.6703910613,1769493.0167597765,565.133623319497,1130.267246638994,,
stream1m,1,steady,native,5,5,179,8,1395836.30726257,1382026.6983240223,1402530.374301676,1393046.4301675977,1397409.502793296,1382026.6983240223,1402530.374301676,1395748.0446927375,1381865.3631284917,1399701.1173184358,1395836.30726257,716.4163840680859,1432.8327681361718,,
stream1m,8,cold,generic,5,5,1,0,1603150.375,1596813.5,2073743.75,1598728.0,1635091.25,1596813.5,2073743.75,1602787.5,1596375.0,2073300.0,12825203.0,623.7718030661971,1247.5436061323942,12825203,15888106.0
stream1m,8,cold,native,5,5,1,0,1299375.0,1282335.25,1766241.0,1284835.75,1331750.75,1282335.25,1766241.0,1298050.0,1281962.5,1765825.0,10395000.0,769.6007696007696,1539.2015392015392,10395000,13434743.6
stream1m,8,steady,generic,5,5,25,8,1565572.55,1520555.665,2069478.19,1521775.215,1677680.095,1520555.665,2069478.19,1565397.5,1520546.0,2069414.0,12524580.4,638.7439534501291,1277.4879069002582,,
stream1m,8,steady,native,5,5,25,8,1263128.11,1252190.605,1400394.145,1256704.55,1285630.77,1252190.605,1400394.145,1263116.0,1252178.5,1400326.5,10105024.88,791.6853342769799,1583.3706685539598,,
