mode,case,concurrency,fragment,phase,batches,exchanges,warmup_batches,allocations,zeroed_allocations,reallocations,deallocations,allocations_per_exchange,requested_live_start,requested_live_end,requested_peak_live,requested_peak_growth,requested_live_change,live_before_setup,live_after_teardown,teardown_live_change,identical_repetitions
direct,1m,8,65536,cold,1,8,0,1129,2,13,1077,141.125,833,100765,102139,101306,99932,833,833,0,3
selected,1m,8,65536,cold,1,8,0,1131,2,13,1077,141.375,835,107871,109245,108410,107036,835,835,0,3
auto,1m,8,65536,cold,1,8,0,1137,4,13,1083,142.125,831,107867,132351,131520,107036,831,831,0,3
direct,1m,8,65536,steady,4,32,8,4216,0,2,4216,131.75,103231,103743,104627,1396,512,835,835,0,3
selected,1m,8,65536,steady,4,32,8,4216,0,2,4216,131.75,110337,110849,111733,1396,512,837,837,0,3
auto,1m,8,65536,steady,4,32,8,4216,0,2,4216,131.75,110333,110845,111729,1396,512,833,833,0,3
direct,1m,64,65536,cold,1,64,0,9718,2,22,9666,151.84375,834,302142,323391,322557,301308,834,834,0,3
selected,1m,64,65536,cold,1,64,0,9720,2,22,9666,151.875,836,309248,330497,329661,308412,836,836,0,3
auto,1m,64,65536,cold,1,64,0,9726,4,22,9672,151.96875,832,309244,330493,329661,308412,832,832,0,3
direct,1m,64,65536,steady,4,256,8,38500,0,2,38500,150.390625,321856,325952,337172,15316,4096,836,836,0,3
selected,1m,64,65536,steady,4,256,8,38500,0,2,38500,150.390625,328962,333058,344278,15316,4096,838,838,0,3
auto,1m,64,65536,steady,4,256,8,38500,0,2,38500,150.390625,328958,333054,344274,15316,4096,834,834,0,3
direct,1m,128,65536,cold,1,128,0,19357,2,25,19305,151.2265625,835,532287,576792,575957,531452,835,835,0,3
selected,1m,128,65536,cold,1,128,0,19359,2,25,19305,151.2421875,837,539393,583898,583061,538556,837,837,0,3
auto,1m,128,65536,cold,1,128,0,19365,4,25,19311,151.2890625,833,539389,583894,583061,538556,833,833,0,3
direct,1m,128,65536,steady,4,512,8,77032,0,2,77032,150.453125,571713,579905,603445,31732,8192,837,837,0,3
selected,1m,128,65536,steady,4,512,8,77032,0,2,77032,150.453125,578819,587011,610551,31732,8192,839,839,0,3
auto,1m,128,65536,steady,4,512,8,77032,0,2,77032,150.453125,578815,587007,610547,31732,8192,835,835,0,3
direct,duplex,1,17,cold,1,1,0,70,4,9,16,70.0,834,142606,142710,141876,141772,834,834,0,3
selected,duplex,1,17,cold,1,1,0,72,4,9,16,72.0,836,149712,149816,148980,148876,836,836,0,3
auto,duplex,1,17,cold,1,1,0,80,7,9,24,80.0,832,149708,149812,148980,148876,832,832,0,3
direct,duplex,1,17,steady,4,4,8,24,0,2,24,6.0,142856,142920,143024,168,64,836,836,0,3
selected,duplex,1,17,steady,4,4,8,24,0,2,24,6.0,149962,150026,150130,168,64,838,838,0,3
auto,duplex,1,17,steady,4,4,8,24,0,2,24,6.0,149958,150022,150126,168,64,834,834,0,3
direct,duplex,8,17,cold,1,8,0,124,4,13,70,15.5,834,165886,167740,166906,165052,834,834,0,3
selected,duplex,8,17,cold,1,8,0,126,4,13,70,15.75,836,172992,174846,174010,172156,836,836,0,3
auto,duplex,8,17,cold,1,8,0,134,7,13,78,16.75,832,172988,174842,174010,172156,832,832,0,3
direct,duplex,8,17,steady,4,32,8,192,0,2,192,6.0,168352,168864,169293,941,512,836,836,0,3
selected,duplex,8,17,steady,4,32,8,192,0,2,192,6.0,175458,175970,176399,941,512,838,838,0,3
auto,duplex,8,17,steady,4,32,8,192,0,2,192,6.0,175454,175966,176395,941,512,834,834,0,3
