mode,case,concurrency,fragment,phase,trials,median_ns,min_ns,max_ns,median_overhead_percent
auto,empty,64,17,steady,5,3494.705810546875,3457.81103515625,5178.5416259765625,1.496922578072879
direct,empty,64,1024,steady,5,2641.5327911376953,2635.0196380615234,2691.0028381347656,0.0
selected,empty,64,1024,steady,5,2663.1790924072266,2641.605728149414,2708.2954864501953,0.8194598735307812
auto,empty,64,1024,steady,5,2670.031005859375,2645.2400512695312,2689.5240020751953,1.0788514463000665
direct,empty,64,65536,steady,5,2633.3499603271484,2632.3545532226562,2665.1039123535156,0.0
selected,empty,64,65536,steady,5,2649.0108795166016,2642.917266845703,2668.549362182617,0.5947146951750915
auto,empty,64,65536,steady,5,2661.4862060546875,2642.440399169922,2685.1996307373047,1.0684582813308863
direct,empty,128,17,steady,5,3407.639892578125,3378.9945068359375,3452.9501953125,0.0
selected,empty,128,17,steady,5,3485.447998046875,3440.8968505859375,3594.1785888671875,2.283342956461354
auto,empty,128,17,steady,5,3464.09033203125,3453.918701171875,3558.3341064453125,1.6565846519192018
direct,empty,128,1024,steady,5,2661.993927001953,2639.0578002929688,3720.8719177246094,0.0
selected,empty,128,1024,steady,5,2664.5486602783203,2653.682388305664,2688.375244140625,0.09597066508879593
auto,empty,128,1024,steady,5,2663.729248046875,2643.0708923339844,2678.9818725585938,0.06518876798777828
direct,empty,128,65536,steady,5,2661.5570526123047,2649.423858642578,3338.4547576904297,0.0
selected,empty,128,65536,steady,5,2678.9278106689453,2656.757293701172,3653.9051666259766,0.6526539808564769
auto,empty,128,65536,steady,5,2657.788787841797,2654.0780029296875,3309.0203247070312,-0.14158121340323016
direct,duplex,1,17,steady,5,39816.560546875,39465.3994140625,54158.51953125,0.0
selected,duplex,1,17,steady,5,42622.16943359375,42339.43505859375,43166.53662109375,7.0463366202004885
auto,duplex,1,17,steady,5,42749.1337890625,42406.48291015625,44083.46044921875,7.365209857177546
direct,duplex,1,1024,steady,5,4570.001403808594,4513.429504394531,4586.7843017578125,0.0
selected,duplex,1,1024,steady,5,4640.0703125,4611.9508056640625,4693.236083984375,1.5332360430570402
