case,concurrency,phase,backend,variant,baseline_wall_ns_median,baseline_wall_ns_min,baseline_wall_ns_max,baseline_cpu_ns_median,baseline_cpu_ns_min,baseline_cpu_ns_max,candidate_wall_ns_median,candidate_wall_ns_min,candidate_wall_ns_max,candidate_cpu_ns_median,candidate_cpu_ns_min,candidate_cpu_ns_max,wall_candidate_over_baseline,wall_bootstrap95_low,wall_bootstrap95_high,cpu_candidate_over_baseline,cpu_bootstrap95_low,cpu_bootstrap95_high
empty,8,cold,generic,static16k,71208.96428571429,68688.03571428571,83459.80357142857,70555.95238095238,68349.40476190476,83017.26190476191,71383.88690476191,68753.50595238095,85750.88690476191,70907.73809523809,68380.35714285714,83999.40476190476,1.0177215682950564,0.9750986586729322,1.0274513386719457,1.00137454249695,0.9872108682211249,1.0190682315904735
empty,8,cold,native,static16k,61965.29761904762,60096.07142857143,65555.14880952382,61305.357142857145,59612.5,65114.28571428572,60778.44047619047,59643.31547619047,62660.30952380953,60381.54761904762,59296.42857142857,61900.0,0.9831602173643658,0.9518921037641819,1.0029027925524012,0.9870596480145296,0.952006880733945,1.001513716222155
empty,8,steady,generic,static16k,29052.015219932,28832.123246918825,32855.66800361241,29051.466213344665,28831.15172120697,32854.63504037399,28779.51699957501,28277.300892477688,33660.83552911177,28778.383977900554,28277.090416489587,33660.32724181895,0.9851807081900581,0.9710478418591366,0.9997860040568193,0.9851945099993071,0.9710267192447088,0.9997727722545123
empty,8,steady,native,static16k,25479.309896940078,25183.563057798554,32727.057931364216,25478.36804079898,25183.013705907353,32726.657458563535,24842.634296642584,24757.12237037824,26866.63031236719,24842.275818104546,24756.60858478538,26865.870696982576,0.9812781290010295,0.9412536501883242,0.9951150339307079,0.981278331031872,0.9422066281736163,0.9951247249602121
empty,128,cold,generic,static16k,34774.216145833336,33936.252604166664,35547.4453125,34554.427083333336,33904.6875,35215.364583333336,34847.6796875,34197.908854166664,35965.934895833336,34615.364583333336,34166.145833333336,35927.604166666664,0.9982936586416755,0.9834271665750911,1.016074721818268,1.0026761819803747,0.9945646949203931,1.0249704287447963
empty,128,cold,native,static16k,31620.1484375,30824.708333333332,32296.895833333332,31564.0625,30757.291666666668,32273.177083333332,31179.65625,30389.296875,32805.4921875,31008.854166666668,30371.09375,32758.59375,0.9896947161076861,0.967997291148153,1.011515045424869,0.9987753732595203,0.9713892264074524,1.000330206251905
empty,128,steady,generic,static16k,28923.792283887986,28297.19802658279,32604.619470373378,28923.27262581169,28271.33218344156,32604.05083198052,28692.297356939936,28165.00862418831,33770.97945413961,28691.67765827922,28164.32122564935,33770.454545454544,0.9958590802652227,0.9737661074228376,1.021090275178261,0.9958702497571381,0.9737598365862293,1.021086025703952
empty,128,steady,native,static16k,27388.859958400975,25507.45718344156,31781.195515422078,27388.141741071428,25506.65838068182,31780.79596185065,25475.513874797078,25117.98531351461,29857.186891233767,25474.98731737013,25117.51471185065,29856.397118506495,0.9758399596275916,0.8524936234229724,1.0122729989711725,0.9758498490744911,0.8525007577794774,1.0122958484597053
fixed4k,1,cold,generic,static16k,354849.4516129032,332299.3548387097,426187.03225806454,342229.03225806454,329003.22580645164,423348.3870967742,359387.51612903224,324611.0967741936,413645.1935483871,347058.06451612903,321329.03225806454,410719.3548387097,1.0022002919527744,0.9705719842219809,1.0532428500390387,0.9978437051723666,0.9701687011383898,1.0237865238391277
fixed4k,1,cold,native,static16k,294066.5806451613,273227.5806451613,359622.06451612903,288138.70967741933,270003.22580645164,356138.70967741933,294066.93548387097,280480.48387096776,356347.9032258064,291516.12903225806,277164.51612903224,348948.3870967742,0.9908955494854633,0.9519472675061056,1.0557436140475625,1.0044089974180561,0.9693754469861127,1.0216656907346515
fixed4k,1,steady,generic,static16k,49415.83119792133,49045.57624764806,50479.46666965326,49414.49690887913,49045.112445121405,50478.7026252128,48567.36564823941,48058.42854582923,49209.55810411253,48566.09174805125,48057.199175701106,49207.86667861303,0.9729068433244242,0.9656254865675657,0.9910042265223243,0.9729256490434052,0.9656040155287748,0.9910013381622876
fixed4k,1,steady,native,static16k,44324.997132873395,43900.18152495296,47155.783711136995,44323.649314577546,43899.33249708807,47154.16629334289,43203.61710420213,43035.44185108861,43962.76234208404,43202.988083505064,43034.857987635514,43962.10465012096,0.9709068163519768,0.9582974783148304,0.988298524773921,0.9709231674992482,0.9583014940201986,0.9883042327827934
fixed4k,8,cold,generic,static16k,93182.79166666667,86609.95833333333,103870.74166666667,91329.16666666667,86285.83333333333,102030.0,89647.49166666667,85530.66666666667,103102.41666666667,89266.66666666667,85169.16666666667,102698.33333333333,0.9921220753201574,0.9515279779394175,1.018223558780529,0.9925757130255807,0.9671700351293397,1.0149895402658584
fixed4k,8,cold,native,static16k,79627.61666666667,74438.1,102669.09166666666,74910.83333333333,74085.83333333333,99964.16666666667,75288.89166666666,72209.98333333334,100931.05833333333,74845.0,71836.66666666667,100098.33333333333,0.9782310336663315,0.9416444085458624,1.0043700868759904,0.9987107718405428,0.9742104116750162,1.0034243245870824
fixed4k,8,steady,generic,static16k,40816.42448496659,40241.444216314034,45337.80352171492,40815.430122494436,40240.77463808463,45337.002366369714,39965.70020183742,39513.09590757238,40927.67768652561,39965.01948775056,39476.15186525613,40926.242344098,0.9854577777708129,0.9615819374217234,0.9997085940264981,0.9854645635824322,0.961571556611839,0.9997003976070445
fixed4k,8,steady,native,static16k,35645.33390172606,35431.65183045657,41066.50180957684,35644.14671492205,35430.769766146994,41064.880289532295,35008.542733853006,34781.04092427617,38511.75354955457,35008.122216035634,34780.60620824053,38511.16717706013,0.9808618405026455,0.9650856280704319,0.9903896557830093,0.9808591594011772,0.965077181139909,0.9903721359744144
fixed4k,128,cold,generic,static16k,46840.8203125,44275.703125,69223.21484375,46272.265625,44255.078125,68478.125,46108.16796875,44589.8125,69325.55859375,46038.671875,44485.9375,68742.96875,1.0014784599390683,0.9527482956322318,1.0187719153764883,1.0038675671975539,0.9613952742345324,1.016244280183034
fixed4k,128,cold,native,static16k,40368.03125,39681.421875,54943.83203125,40248.828125,39630.078125,54922.265625,40331.16796875,38705.23828125,58980.19921875,40257.421875,38683.59375,58855.859375,0.9977358561397378,0.9753994804716155,1.0734635178923135,0.9973642078956617,0.9761170197037051,1.0716211122253754
fixed4k,128,steady,generic,static16k,38933.3303856383,38398.65056515957,44789.34936835106,38932.35372340425,38397.702792553195,44787.70944148936,38179.14175531915,37731.76998005319,38678.7076462766,38178.19481382979,37731.24667553192,38676.89162234042,0.9788092088363884,0.9681448136512211,0.98735905175962,0.9787913788047009,0.9681302493835903,0.9873363224406757
